name,code,year,g,tpa,ab,h,2b,3b,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,e,avg_risp,ops_risp
정훈,60523,2015,135,562,486,146,27,2,9,204,62,16,6,7,3,52,2,14,102,14,17,0.295 ,0.829 
오태곤,60558,2015,122,353,327,90,18,1,8,134,43,15,4,4,1,17,0,4,100,9,16,0.198 ,0.598 
유강남,61102,2015,126,313,279,76,11,1,8,113,37,2,1,7,1,19,0,7,55,10,3,0.244 ,0.672 
고종욱,61353,2015,119,443,407,126,25,4,10,189,51,22,14,4,1,25,1,6,81,10,3,0.284 ,0.780 
강경학,61700,2015,120,376,311,80,7,4,2,101,27,4,3,17,3,40,1,5,58,3,15,0.233 ,0.616 
박계현,61893,2015,97,302,264,61,2,0,0,63,21,10,8,13,1,20,0,4,45,1,10,0.299 ,0.648 
구자욱,62404,2015,116,465,410,143,33,5,11,219,57,17,7,0,4,45,0,6,79,3,13,0.330 ,0.837 
박해민,62415,2015,144,608,525,154,22,7,0,190,47,60,8,23,2,56,1,2,126,8,3,0.294 ,0.750 
박민우,62907,2015,141,617,520,158,31,6,3,210,47,46,16,3,7,73,0,14,108,4,11,0.379 ,0.974 
나성범,62947,2015,144,622,564,184,34,5,28,312,135,23,4,3,8,32,1,15,127,9,6,0.367 ,1.087 
양석환,64153,2015,125,384,358,93,22,1,8,141,48,6,6,5,3,18,2,0,75,6,10,0.252 ,0.691 
스나이더,64158,2015,113,487,431,121,26,1,26,227,71,4,2,3,5,37,0,11,135,2,2,0.210 ,0.632 
김하성,64300,2015,140,582,511,148,35,5,19,250,73,22,4,4,6,56,2,5,115,10,21,0.260 ,0.784 
나바로,64440,2015,140,643,534,153,19,1,48,318,137,22,6,1,9,93,8,6,72,10,12,0.271 ,1.023 
강한울,64610,2015,90,292,264,54,8,3,0,68,12,9,4,12,0,13,0,3,51,2,12,0.167 ,0.447 
필,64699,2015,143,591,536,174,35,1,22,277,101,14,10,0,9,43,6,3,74,12,8,0.333 ,0.929 
테임즈,64914,2015,142,595,472,180,42,5,47,373,140,40,8,0,7,103,11,13,91,7,4,0.310 ,1.217 
마르테,65005,2015,115,487,425,148,32,1,20,242,89,0,0,0,8,51,7,2,60,19,15,0.305 ,0.912 
히메네스,65103,2015,70,299,279,87,17,2,11,141,46,8,2,0,4,12,1,4,48,4,6,0.238 ,0.760 
로메로,65233,2015,76,305,265,67,16,0,12,119,50,2,0,0,7,29,1,4,48,9,8,0.256 ,0.761 
아두치,65523,2015,132,594,526,165,34,5,28,293,106,24,10,1,4,55,8,8,118,9,3,0.354 ,1.104 
김호령,65653,2015,103,283,257,56,10,2,1,73,21,11,2,6,0,15,0,5,83,2,2,0.353 ,0.872 
브라운,65823,2015,137,539,464,121,21,2,28,230,76,5,2,0,2,66,4,7,127,12,3,0.232 ,0.895 
김주찬,70410,2015,98,377,333,109,23,2,18,190,62,8,2,1,8,23,3,12,58,10,0,0.294 ,0.900 
박기혁,70553,2015,126,350,300,84,13,1,1,102,30,3,0,16,1,30,0,3,84,10,8,0.310 ,0.751 
김상현,70646,2015,134,539,475,133,20,0,27,234,88,4,5,0,6,50,4,8,115,21,11,0.250 ,0.760 
이범호,70756,2015,138,514,437,118,25,0,28,227,79,3,4,0,4,57,1,16,91,16,9,0.245 ,0.840 
김원섭,71207,2015,110,341,277,74,13,3,5,108,33,8,5,6,2,53,0,3,46,5,0,0.308 ,1.033 
박한이,71432,2015,94,429,367,110,17,4,11,168,52,6,6,7,1,53,0,1,63,11,2,0.297 ,0.958 
최준석,71552,2015,144,618,507,155,18,1,31,268,109,0,0,1,1,108,4,1,134,17,0,0.340 ,0.994 
박종윤,71562,2015,98,326,314,80,11,3,4,109,28,0,1,1,1,7,2,3,38,11,4,0.224 ,0.570 
김경언,71610,2015,107,437,377,127,21,1,16,198,78,1,3,5,3,50,3,2,89,9,2,0.323 ,0.847 
김태균,71752,2015,133,524,408,129,28,0,21,220,104,3,1,1,5,98,12,12,80,19,9,0.353 ,1.137 
김강민,71837,2015,96,328,293,72,17,0,4,101,31,7,4,4,1,23,0,7,83,6,1,0.288 ,0.880 
정상호,71842,2015,113,324,279,71,11,1,12,120,49,1,2,8,0,22,0,15,80,2,7,0.302 ,0.960 
조동화,71848,2015,119,304,245,64,6,1,2,78,15,18,3,22,2,30,0,5,50,2,1,0.185 ,0.525 
박재상,71857,2015,108,292,250,62,12,2,7,99,37,4,5,6,1,32,0,3,53,4,2,0.270 ,0.839 
박용택,72133,2015,128,533,487,159,28,2,18,245,83,11,4,1,7,34,1,4,73,12,2,0.357 ,1.025 
김민우,72303,2015,90,315,269,70,16,1,6,106,34,8,3,21,3,21,0,1,75,3,4,0.254 ,0.590 
최형우,72443,2015,144,637,547,174,33,1,33,308,123,2,5,0,8,73,7,9,101,13,2,0.302 ,0.903 
손주인,72456,2015,98,279,244,60,9,0,0,69,14,3,4,12,1,20,0,2,41,6,9,0.203 ,0.530 
문규현,72546,2015,105,298,265,65,12,1,2,85,25,4,2,15,3,14,0,1,39,6,11,0.200 ,0.489 
신종길,72559,2015,99,348,313,82,13,4,5,118,28,19,5,4,0,25,0,6,80,3,4,0.226 ,0.550 
박경수,73113,2015,137,537,440,125,30,1,22,223,73,6,4,6,4,74,1,13,115,8,6,0.288 ,0.938 
이성열,73136,2015,97,254,219,55,10,2,9,96,35,1,1,5,2,19,1,9,83,5,2,0.322 ,0.869 
이대형,73153,2015,140,616,546,165,23,3,0,194,37,44,14,10,1,53,0,6,92,5,2,0.290 ,0.760 
나주환,73209,2015,96,273,246,66,15,0,5,96,22,3,5,12,1,12,0,2,47,9,7,0.179 ,0.579 
손시헌,73213,2015,140,508,440,108,24,2,13,175,58,3,2,13,5,36,0,14,66,16,13,0.261 ,0.734 
지석훈,73306,2015,137,466,415,111,15,0,11,159,46,4,1,9,3,23,0,16,85,9,17,0.240 ,0.648 
이종욱,73339,2015,125,504,440,118,25,2,5,162,52,17,4,4,3,54,6,3,78,5,1,0.256 ,0.721 
이택근,73342,2015,105,401,347,113,16,1,10,161,44,11,6,3,4,44,4,3,53,8,0,0.277 ,0.769 
이용규,74163,2015,124,585,493,168,15,7,4,209,42,28,10,11,4,68,5,9,45,4,3,0.350 ,0.889 
김재호,74206,2015,133,488,410,126,24,3,3,165,50,7,2,14,7,54,0,3,42,18,16,0.306 ,0.864 
윤석민,74215,2015,108,418,361,106,24,1,14,174,71,3,2,5,7,37,1,8,62,16,13,0.337 ,0.994 
유한준,74339,2015,139,598,520,188,42,1,23,301,116,3,3,1,8,67,2,2,71,13,2,0.395 ,1.065 
박석민,74465,2015,135,559,448,144,25,0,26,247,116,3,0,1,8,83,0,19,97,13,14,0.420 ,1.311 
강민호,74540,2015,123,456,380,118,18,1,35,243,86,0,0,0,2,60,2,14,112,14,8,0.322 ,1.147 
최진행,74729,2015,109,410,333,97,17,0,18,168,64,0,3,5,3,65,6,4,101,9,1,0.281 ,0.975 
박정권,74846,2015,124,494,438,123,23,0,21,209,70,3,3,4,2,46,1,4,119,9,8,0.261 ,0.755 
박병호,75125,2015,140,622,528,181,35,1,53,377,146,10,3,0,4,78,6,12,161,10,12,0.375 ,1.233 
정근우,75808,2015,126,552,468,148,30,2,12,218,66,21,6,13,2,61,1,8,66,14,10,0.307 ,0.856 
최정,75847,2015,81,330,275,81,17,0,17,149,58,5,2,1,3,46,2,5,78,6,4,0.326 ,0.962 
이병규,76100,2015,70,277,230,56,9,1,12,103,35,2,1,1,0,43,2,3,83,4,4,0.175 ,0.805 
양의지,76232,2015,132,513,442,144,27,0,20,231,93,5,4,2,6,39,3,24,64,7,6,0.283 ,0.800 
민병헌,76249,2015,129,561,491,149,20,2,12,209,75,7,3,6,6,50,0,8,74,15,4,0.323 ,0.931 
최주환,76267,2015,100,270,238,67,16,2,5,102,32,0,3,3,1,25,2,3,34,6,8,0.299 ,1.004 
김현수,76290,2015,141,630,512,167,26,0,28,277,121,11,5,0,9,101,12,8,63,13,1,0.333 ,1.092 
황재균,76313,2015,144,596,534,155,41,2,26,278,97,11,10,4,6,48,1,4,122,14,16,0.242 ,0.768 
김문호,76509,2015,93,325,288,88,13,0,4,113,31,8,5,6,2,25,0,4,45,11,3,0.280 ,0.692 
김성현,76802,2015,129,449,397,118,20,0,8,162,48,1,4,12,2,31,0,7,42,14,23,0.324 ,0.829 
이재원,76812,2015,140,559,489,138,18,1,17,209,100,1,3,0,5,54,5,11,85,22,3,0.319 ,0.869 
이명기,76849,2015,137,582,521,164,30,2,3,207,35,22,10,11,4,35,0,11,86,7,2,0.288 ,0.745 
오재원,77248,2015,120,474,411,115,20,2,11,172,59,31,8,7,4,47,1,4,94,9,8,0.293 ,0.780 
김종호,77454,2015,133,486,424,125,16,7,4,167,36,41,10,10,3,44,0,4,65,11,2,0.270 ,0.695 
채태인,77463,2015,104,373,333,116,19,0,8,159,49,0,2,0,4,33,3,3,92,10,4,0.376 ,0.986 
손아섭,77532,2015,116,517,445,141,28,1,13,210,54,11,6,0,3,68,3,1,96,6,8,0.354 ,1.040 
김민성,77564,2015,118,489,445,135,24,0,16,207,71,1,1,2,3,31,1,8,62,15,5,0.257 ,0.729 
김태군,78122,2015,144,474,421,107,24,0,6,149,52,1,1,11,7,25,0,10,77,12,3,0.238 ,0.593 
서건창,78168,2015,85,368,312,93,24,4,3,134,37,9,2,11,2,42,0,1,24,7,11,0.387 ,1.025 
장성우,78548,2015,111,435,384,111,18,0,10,159,65,1,2,2,8,41,1,0,73,9,6,0.286 ,0.799 
나지완,78629,2015,116,368,304,77,16,0,7,114,31,3,1,0,2,46,3,16,79,10,1,0.198 ,0.692 
김다원,78765,2015,108,274,245,60,9,0,5,84,30,1,0,0,2,15,0,12,67,8,2,0.333 ,0.807 
오지환,79109,2015,138,566,497,138,41,4,11,220,56,25,10,3,3,59,1,4,121,2,15,0.264 ,0.717 
정수빈,79231,2015,128,570,491,145,27,7,2,192,59,15,9,19,6,43,1,11,70,9,2,0.320 ,0.841 
허경민,79240,2015,117,453,404,128,20,2,1,155,41,8,3,8,3,31,0,7,42,11,13,0.274 ,0.680 
박헌도,79356,2015,108,267,218,54,13,0,8,91,42,0,2,3,2,37,0,7,52,6,0,0.333 ,0.981 
박동원,79365,2015,127,443,379,101,12,1,14,157,61,0,0,10,8,37,0,9,93,4,10,0.250 ,0.690 
김상수,79402,2015,132,518,449,125,30,4,8,187,63,26,5,13,7,43,0,6,56,9,18,0.287 ,0.762 
오정복,79453,2015,66,278,239,62,11,1,5,90,29,3,3,2,1,33,0,3,26,3,2,0.362 ,1.094 
이지영,79456,2015,124,400,361,110,10,1,1,125,55,1,2,16,5,14,0,4,32,10,7,0.355 ,0.781 
김회성,79705,2015,83,268,225,47,10,2,16,109,35,2,4,3,2,28,0,10,58,4,7,0.128 ,0.520 
이호준,94629,2015,131,518,449,132,25,0,24,229,110,0,2,3,2,61,7,3,102,16,0,0.314 ,1.010 
권용관,95158,2015,116,341,296,65,8,1,5,90,22,3,6,17,1,18,2,9,86,4,15,0.187 ,0.518 
이승엽,95436,2015,122,522,470,156,28,1,26,264,90,2,1,0,6,40,2,6,71,10,0,0.321 ,0.931 
조인성,98144,2015,106,310,276,64,11,0,11,108,44,0,0,11,1,16,0,6,89,5,6,0.244 ,0.719 
홍성흔,99222,2015,93,352,301,79,12,0,7,112,46,8,1,4,0,42,1,5,59,13,0,0.307 ,0.809 
정성훈,99606,2015,117,440,363,103,16,1,9,148,45,9,4,6,4,54,5,13,65,9,5,0.294 ,0.873 
이진영,99810,2015,103,350,301,77,5,1,9,111,39,2,4,2,2,42,4,3,55,10,1,0.250 ,0.857 
이해창,60343,2016,88,254,231,47,10,0,6,75,22,1,1,8,3,9,0,3,65,7,8,0.136 ,0.395 
백상원,60456,2016,132,517,445,128,19,3,3,162,49,8,3,10,7,51,0,4,69,15,8,0.311 ,0.764 
정훈,60523,2016,121,439,370,97,18,2,2,125,46,7,7,8,2,43,0,16,75,12,11,0.356 ,0.958 
유강남,61102,2016,100,297,263,70,7,0,8,101,47,0,0,4,6,17,0,7,48,6,5,0.316 ,0.729 
이천웅,61186,2016,103,320,276,81,10,1,6,111,41,6,9,6,1,34,0,3,49,3,2,0.307 ,0.794 
고종욱,61353,2016,133,566,527,176,22,9,8,240,72,28,14,1,5,28,1,5,103,10,1,0.409 ,0.978 
유민상,62265,2016,95,254,213,60,12,1,4,86,37,1,1,3,4,25,0,9,39,8,5,0.311 ,0.894 
박정음,62353,2016,98,263,223,69,5,3,4,92,26,16,9,5,2,30,0,3,52,5,3,0.365 ,0.911 
구자욱,62404,2016,108,495,428,147,19,13,14,234,77,10,5,2,5,55,1,5,68,4,7,0.352 ,1.029 
박해민,62415,2016,141,641,564,169,26,12,4,231,61,52,15,22,3,49,2,3,87,6,2,0.299 ,0.775 
김상호,62559,2016,114,415,366,106,20,0,7,147,56,3,1,2,5,38,2,4,84,10,6,0.273 ,0.722 
하주석,62700,2016,115,441,405,113,21,1,10,166,57,5,7,8,1,18,1,9,115,3,19,0.291 ,0.807 
양성우,62797,2016,108,446,384,104,12,4,4,136,53,5,2,8,6,39,0,9,67,6,3,0.318 ,0.753 
박민우,62907,2016,121,515,435,149,16,6,3,186,55,20,6,10,7,55,1,8,70,9,14,0.434 ,1.062 
김성욱,62934,2016,130,348,306,81,15,1,15,143,51,5,2,7,2,30,0,3,64,15,1,0.318 ,0.835 
나성범,62947,2016,144,653,572,177,37,2,22,284,113,7,4,1,4,67,2,9,136,4,8,0.320 ,0.973 
이홍구,63634,2016,106,273,241,64,16,2,9,111,45,0,1,3,6,19,1,4,66,5,5,0.260 ,0.862 
김준완,63920,2016,122,325,253,66,7,1,1,78,12,2,5,2,1,66,0,2,62,4,1,0.179 ,0.584 
심우준,64006,2016,122,251,236,57,9,1,3,77,17,17,1,5,2,8,0,0,40,5,13,0.145 ,0.438 
김하성,64300,2016,144,599,526,148,29,7,20,251,84,28,15,2,5,60,2,6,80,7,21,0.315 ,0.892 
임병욱,64346,2016,104,265,233,58,11,1,8,95,24,17,6,6,0,25,0,1,82,2,3,0.197 ,0.596 
강한울,64610,2016,104,322,298,81,13,3,0,100,27,7,3,9,0,15,0,0,46,2,11,0.313 ,0.742 
필,64699,2016,132,544,499,156,37,1,20,255,86,10,3,0,7,33,0,5,70,16,13,0.284 ,0.870 
테임즈,64914,2016,123,529,436,140,30,3,40,296,121,13,4,0,7,74,6,12,103,2,4,0.304 ,1.135 
마르테,65005,2016,91,381,325,86,16,0,22,168,74,0,0,0,5,50,0,1,51,12,7,0.330 ,0.971 
히메네스,65103,2016,135,579,523,161,36,0,26,275,102,18,9,1,6,39,2,10,67,8,17,0.304 ,0.875 
아두치,65523,2016,64,272,247,72,18,3,7,117,41,15,2,1,5,18,1,1,59,5,2,0.257 ,0.628 
김호령,65653,2016,124,514,453,121,18,3,8,169,41,19,10,13,2,36,0,10,104,7,3,0.221 ,0.570 
에반스,66244,2016,118,481,400,123,31,0,24,226,81,0,0,0,7,69,0,5,90,10,2,0.266 ,0.880 
대니돈,66306,2016,129,497,417,123,33,1,16,206,70,1,0,1,4,70,4,5,72,8,4,0.297 ,0.962 
로사리오,66740,2016,127,532,492,158,31,2,33,292,120,1,3,1,2,33,3,4,90,16,6,0.348 ,0.935 
고메즈,66805,2016,117,492,456,129,31,0,21,223,62,16,8,2,4,25,2,5,87,11,25,0.297 ,0.904 
김주찬,70410,2016,130,555,511,177,37,3,23,289,101,9,7,1,6,30,1,7,68,13,3,0.421 ,1.168 
박기혁,70553,2016,117,348,308,84,13,0,2,103,34,0,2,10,2,27,0,1,53,8,13,0.247 ,0.690 
이범호,70756,2016,138,560,484,150,23,0,33,272,108,1,1,0,7,60,7,9,57,15,11,0.314 ,0.988 
박한이,71432,2016,110,401,349,105,21,0,14,168,69,1,0,6,4,40,2,2,72,5,0,0.333 ,0.929 
최준석,71552,2016,116,396,325,85,10,0,19,152,70,0,0,0,4,64,2,3,102,14,0,0.263 ,0.879 
김태균,71752,2016,144,652,529,193,39,0,23,301,136,1,0,0,6,108,10,9,97,11,4,0.417 ,1.214 
김강민,71837,2016,115,422,366,109,21,0,10,160,47,12,5,10,2,32,2,12,89,5,2,0.262 ,0.788 
박재상,71857,2016,94,288,255,76,14,1,6,110,35,3,6,4,2,27,0,0,37,9,3,0.339 ,0.876 
박용택,72133,2016,138,578,509,176,24,0,11,233,90,6,6,0,7,58,5,4,71,13,0,0.376 ,0.975 
최형우,72443,2016,138,618,519,195,46,2,31,338,144,2,2,0,7,83,8,9,83,12,3,0.380 ,1.108 
손주인,72456,2016,122,409,354,114,20,3,2,146,39,5,4,12,4,33,0,6,35,6,7,0.241 ,0.607 
조동찬,72466,2016,90,282,247,68,11,1,10,111,36,0,1,3,3,26,0,3,64,7,11,0.222 ,0.622 
문규현,72546,2016,120,368,316,86,10,0,4,108,40,2,3,19,2,29,0,1,39,10,7,0.244 ,0.647 
박경수,73113,2016,121,476,402,126,22,1,20,210,80,3,1,0,4,65,2,5,80,9,13,0.325 ,0.981 
이대형,73153,2016,143,654,600,192,14,3,1,215,42,37,20,7,1,44,0,2,90,6,2,0.315 ,0.757 
손시헌,73213,2016,110,403,341,104,21,2,5,144,39,1,0,10,1,38,0,13,48,13,13,0.311 ,0.817 
지석훈,73306,2016,141,394,351,77,14,0,9,118,54,0,2,6,6,22,0,9,91,9,9,0.232 ,0.710 
이종욱,73339,2016,134,517,453,138,24,4,5,185,57,15,3,4,5,54,0,1,73,11,2,0.315 ,0.848 
이택근,73342,2016,127,460,398,123,19,1,8,168,65,7,4,0,6,53,1,3,56,11,1,0.345 ,0.949 
차일목,73602,2016,117,329,276,63,8,0,3,80,38,0,0,13,6,30,0,4,57,9,6,0.224 ,0.599 
서동욱,73606,2016,124,485,411,120,30,3,16,204,67,9,4,6,3,60,1,5,108,8,6,0.308 ,0.953 
이용규,74163,2016,113,530,452,159,20,4,3,196,41,21,11,7,1,63,1,7,29,7,3,0.374 ,0.951 
김재호,74206,2016,137,496,416,129,27,3,7,183,78,8,4,5,13,57,1,5,52,8,10,0.336 ,0.911 
윤석민,74215,2016,92,402,341,114,15,0,19,186,80,2,3,0,6,46,3,9,50,16,6,0.289 ,0.841 
유한준,74339,2016,110,460,408,137,22,0,14,201,64,4,1,0,3,47,1,2,40,10,1,0.319 ,0.854 
박석민,74465,2016,126,506,427,131,20,0,32,247,104,2,0,2,4,56,2,16,95,18,15,0.354 ,1.169 
강민호,74540,2016,116,460,381,123,26,0,20,209,72,4,0,0,3,66,4,10,91,7,4,0.330 ,1.076 
김주형,74605,2016,135,387,345,97,16,1,19,172,49,1,2,1,1,34,0,6,55,9,11,0.244 ,0.738 
박정권,74846,2016,125,468,422,117,17,3,18,194,59,4,0,2,4,35,0,5,99,7,6,0.243 ,0.716 
정의윤,75151,2016,144,616,576,179,32,1,27,294,100,2,3,0,5,25,3,10,76,15,5,0.301 ,0.886 
오재일,75334,2016,105,455,380,120,20,2,27,225,92,1,0,2,7,64,2,2,73,5,7,0.295 ,0.940 
정근우,75808,2016,138,650,575,178,31,2,18,267,88,22,6,1,5,60,2,9,58,14,16,0.388 ,1.058 
최정,75847,2016,141,606,500,144,24,1,40,290,106,1,2,0,6,77,2,23,126,6,14,0.278 ,1.061 
이병규,76100,2016,103,350,290,79,12,2,7,116,37,8,5,0,3,47,1,10,81,4,3,0.214 ,0.681 
양의지,76232,2016,108,392,332,106,17,0,22,189,66,2,0,1,7,40,1,12,29,20,7,0.245 ,0.700 
민병헌,76249,2016,134,579,511,166,31,4,16,253,87,9,2,1,4,48,1,15,91,18,0,0.357 ,1.040 
황재균,76313,2016,127,559,498,167,26,5,27,284,113,25,10,0,8,49,5,4,66,10,15,0.411 ,1.154 
김문호,76509,2016,140,599,526,171,28,3,7,226,70,12,15,3,2,62,1,6,70,15,5,0.305 ,0.822 
송광민,76753,2016,116,494,449,146,27,2,17,228,83,3,0,7,6,28,0,4,86,16,14,0.328 ,0.889 
김성현,76802,2016,138,530,479,153,28,0,8,205,65,3,3,5,7,33,0,6,37,13,16,0.322 ,0.840 
이재원,76812,2016,130,472,411,119,15,0,15,179,64,1,5,2,7,43,3,9,76,15,8,0.250 ,0.825 
이명기,76849,2016,99,326,287,78,7,4,1,96,22,14,8,10,2,23,0,4,37,3,4,0.244 ,0.595 
오재원,77248,2016,122,484,416,113,18,1,5,148,58,13,10,3,6,54,1,5,82,10,16,0.330 ,0.833 
채태인,77463,2016,124,417,370,106,14,3,7,147,72,0,1,0,9,36,1,2,92,13,3,0.350 ,0.908 
손아섭,77532,2016,144,672,575,186,33,1,16,269,81,42,4,0,2,92,1,3,104,4,3,0.331 ,0.977 
김민성,77564,2016,141,579,510,156,39,5,17,256,90,6,3,1,12,53,3,3,89,15,7,0.298 ,0.861 
김태군,78122,2016,134,395,340,79,15,0,1,97,30,0,0,20,4,22,0,9,44,14,0,0.206 ,0.469 
서건창,78168,2016,140,646,560,182,30,7,7,247,63,26,13,3,4,69,2,10,58,6,15,0.305 ,0.823 
김용의,78217,2016,105,347,308,98,18,4,1,127,20,19,7,4,0,35,0,0,64,6,0,0.290 ,0.719 
김재환,78224,2016,134,568,492,160,32,3,37,309,124,8,2,0,5,71,3,0,107,9,5,0.313 ,1.062 
나지완,78629,2016,118,486,380,117,21,2,25,217,90,6,3,0,4,85,1,17,90,8,1,0.304 ,1.039 
오지환,79109,2016,121,472,393,110,14,5,20,194,78,17,9,2,5,65,0,7,97,7,17,0.266 ,0.871 
정주현,79150,2016,99,257,225,50,12,1,1,67,22,5,5,2,2,28,0,0,66,1,7,0.160 ,0.521 
채은성,79192,2016,128,451,403,126,20,3,9,179,81,7,3,2,8,31,0,7,75,9,4,0.346 ,0.910 
박건우,79215,2016,132,540,484,162,36,4,20,266,83,17,6,4,5,38,0,9,86,9,3,0.331 ,0.919 
정수빈,79231,2016,114,305,269,65,7,2,2,82,20,12,4,4,1,25,0,6,48,7,2,0.243 ,0.723 
허경민,79240,2016,144,609,538,154,24,4,7,207,81,6,6,6,2,49,1,14,58,14,8,0.321 ,0.875 
박동원,79365,2016,127,454,411,102,25,1,14,171,70,3,1,6,3,27,0,7,93,18,7,0.250 ,0.746 
김상수,79402,2016,105,401,358,97,13,0,3,119,38,6,4,8,4,23,0,8,39,9,15,0.236 ,0.610 
오정복,79453,2016,96,344,306,93,11,2,5,123,36,1,0,6,4,28,1,0,32,5,3,0.313 ,0.821 
