¿¬µµ,ÆÀ,°æ±â,½Â,ÆÐ,µæÁ¡,½ÇÁ¡
2020,NC,144,83,55,888,714
2020,KT,144,81,62,813,715
2020,µÎ»ê,144,79,61,816,695
2020,LG,144,79,61,802,694
2020,Å°¿ò,144,80,63,759,692
2020,KIA,144,73,71,724,795
2020,·Ôµ¥,144,71,72,750,720
2020,»ï¼º,144,64,75,699,745
2020,SK,144,51,92,634,846
2020,ÇÑÈ­,144,46,95,551,820
2019,SK,144,88,55,655,546
2019,µÎ»ê,144,88,55,736,550
2019,Å°¿ò,144,86,57,780,572
2019,NC,144,73,69,674,631
2019,LG,144,78,64,641,633
2019,KIA,144,62,79,605,723
2019,KT,144,71,70,650,661
2019,·Ôµ¥,144,48,93,578,764
2019,ÇÑÈ­,143,58,86,607,737
2019,»ï¼º,142,60,83,622,731
2018,µÎ»ê,144,93,51,944,756
2018,SK,144,78,65,829,729
2018,³Ø¼¾,144,74,69,825,780
2018,KIA,144,70,74,865,826
2018,·Ôµ¥,144,68,74,821,846
2018,»ï¼º,144,68,72,776,802
2018,LG,144,68,75,788,816
2018,ÇÑÈ­,144,77,67,729,761
2018,KT,144,59,81,757,834
2018,NC,144,58,85,660,844
2017,µÎ»ê,144,84,57,849,678
2017,KIA,144,87,56,906,743
2017,·Ôµ¥,144,80,62,743,701
2017,NC,144,79,62,786,745
2017,³Ø¼¾,144,69,73,789,764
2017,LG,144,69,72,699,677
2017,SK,144,75,68,761,767
2017,ÇÑÈ­,144,61,81,737,820
2017,»ï¼º,144,55,84,757,911
2017,kt,144,50,94,655,876
2016,µÎ»ê,144,93,50,935,682
2016,NC,144,83,58,857,690
2016,³Ø¼¾,144,77,66,813,757
2016,KIA,144,71,73,803,785
2016,»ï¼º,144,65,78,852,869
2016,LG,144,71,71,786,807
2016,SK,144,69,75,753,784
2016,ÇÑÈ­,144,67,75,826,908
2016,·Ôµ¥,144,66,78,777,865
2016,kt,144,53,89,672,927
2015,NC,144,84,57,844,655
2015,»ï¼º,144,88,56,897,716
2015,³Ø¼¾,144,78,65,904,790
2015,µÎ»ê,144,79,65,807,776
2015,SK,144,69,73,693,724
2015,·Ôµ¥,144,66,77,765,802
2015,LG,144,64,78,653,721
2015,ÇÑÈ­,144,68,76,717,800
2015,KIA,144,67,77,648,739
2015,kt,144,52,91,670,875
2014,»ï¼º,128,78,47,812,621
2014,NC,128,70,57,737,608
2014,³Ø¼¾,128,78,48,841,716
2014,LG,128,62,64,667,643
2014,·Ôµ¥,128,57,68,716,705
2014,SK,128,61,65,735,760
2014,µÎ»ê,128,59,68,687,733
2014,KIA,128,54,74,662,788
2014,ÇÑÈ­,128,49,77,619,889
2013,»ï¼º,128,75,51,669,545
2013,LG,128,74,54,616,510
2013,µÎ»ê,128,71,54,699,625
2013,³Ø¼¾,128,72,54,646,576
2013,SK,128,62,63,588,571
2013,·Ôµ¥,128,66,58,556,553
2013,NC,128,52,72,512,551
2013,KIA,128,51,74,587,711
2013,ÇÑÈ­,128,42,85,480,711
2012,»ï¼º,133,80,51,628,473
2012,SK,133,71,59,564,528
2012,µÎ»ê,133,68,62,524,519
2012,³Ø¼¾,133,61,69,549,551
2012,·Ôµ¥,133,65,62,509,518
2012,KIA,133,62,65,553,564
2012,LG,133,57,72,544,580
2012,ÇÑÈ­,133,53,77,509,647
2011,»ï¼º,133,79,50,625,513
2011,·Ôµ¥,133,72,56,713,619
2011,SK,133,71,59,584,522
2011,KIA,133,70,63,627,580
2011,µÎ»ê,133,61,70,614,619
2011,LG,133,59,72,579,620
2011,³Ø¼¾,133,51,80,512,622
2011,ÇÑÈ­,133,59,72,568,727
2010,SK,133,84,47,704,545
2010,»ï¼º,133,79,52,681,575
2010,µÎ»ê,133,73,57,731,669
2010,·Ôµ¥,133,69,61,773,710
2010,KIA,133,59,74,611,641
2010,LG,133,57,71,688,746
2010,³Ø¼¾,133,52,78,570,652
2010,ÇÑÈ­,133,49,82,543,763
2009,SK,133,80,47,732,550
2009,KIA,133,81,48,706,581
2009,µÎ»ê,133,71,60,722,662
2009,»ï¼º,133,64,69,685,700
2009,·Ôµ¥,133,66,67,637,669
2009,È÷¾î·ÎÁî,133,60,72,683,762
2009,LG,133,54,75,670,763
2009,ÇÑÈ­,133,46,84,657,805
2008,SK,126,83,43,632,461
2008,·Ôµ¥,126,69,57,624,518
2008,µÎ»ê,126,70,56,647,542
2008,ÇÑÈ­,126,64,62,592,595
2008,»ï¼º,126,65,61,557,596
2008,KIA,126,57,69,503,555
2008,È÷¾î·ÎÁî,126,50,76,499,609
2008,LG,126,46,80,468,646
2007,SK,126,73,48,603,465
2007,µÎ»ê,126,70,54,578,480
2007,ÇÑÈ­,126,67,57,534,481
2007,»ï¼º,126,62,60,497,509
2007,·Ôµ¥,126,55,68,533,554
2007,LG,126,58,62,532,600
2007,Çö´ë,126,56,69,530,615
2007,KIA,126,51,74,499,602
2006,Çö´ë,126,70,55,547,467
2006,»ï¼º,126,73,50,538,471
2006,ÇÑÈ­,126,67,57,511,475
2006,KIA,126,64,59,476,451
2006,µÎ»ê,126,63,60,455,467
2006,SK,126,60,65,509,535
2006,·Ôµ¥,126,50,73,488,541
2006,LG,126,47,75,457,574
2005,µÎ»ê,126,72,51,596,465
2005,SK,126,70,50,589,485
2005,»ï¼º,126,74,48,614,528
2005,ÇÑÈ­,126,64,61,622,603
2005,LG,126,54,71,601,666
2005,·Ôµ¥,126,58,67,500,573
2005,Çö´ë,126,53,70,563,647
2005,KIA,126,49,76,541,659
2004,Çö´ë,133,75,53,692,590
2004,»ï¼º,133,73,52,641,564
2004,µÎ»ê,133,70,62,606,560
2004,SK,133,61,64,655,645
2004,KIA,133,67,61,643,637
2004,LG,133,59,70,588,636
2004,·Ôµ¥,133,50,72,533,608
2004,ÇÑÈ­,133,53,74,632,750
2003,»ï¼º,133,76,53,769,613
2003,KIA,133,78,50,657,527
2003,Çö´ë,133,80,51,723,627
2003,SK,133,66,64,644,642
2003,ÇÑÈ­,133,63,65,577,617
2003,µÎ»ê,133,57,74,563,619
2003,LG,133,60,71,509,579
2003,·Ôµ¥,133,39,91,491,709
2002,»ï¼º,133,82,47,777,581
2002,KIA,133,78,51,643,580
2002,Çö´ë,133,70,58,658,614
2002,µÎ»ê,133,66,65,587,562
2002,LG,133,66,61,583,575
2002,SK,133,61,69,618,638
2002,ÇÑÈ­,133,59,69,603,672
2002,·Ôµ¥,133,35,97,463,710
2001,»ï¼º,133,81,52,739,644
2001,Çö´ë,133,72,57,711,628
2001,·Ôµ¥,133,59,70,718,670
2001,µÎ»ê,133,65,63,732,733
2001,ÇØÅÂ/KIA,133,60,68,683,727
2001,SK,133,60,71,596,640
2001,LG,133,58,67,669,732
2001,ÇÑÈ­,133,61,68,659,733
2000,Çö´ë,133,91,40,777,528
2000,µÎ»ê,133,76,57,694,616
2000,»ï¼º,133,69,59,744,670
2000,LG,133,67,63,687,631
2000,·Ôµ¥,133,65,64,603,579
2000,ÇÑÈ­,133,50,78,680,776
2000,ÇØÅÂ,133,57,72,588,728
2000,SK,133,44,86,602,847
1999,·Ôµ¥,132,75,52,753,590
1999,µÎ»ê,132,76,51,721,657
1999,Çö´ë,132,68,59,699,646
1999,ÇÑÈ­,132,72,58,731,701
1999,ÇØÅÂ,132,60,69,765,743
1999,»ï¼º,132,73,57,748,748
1999,LG,132,61,70,744,773
1999,½Ö¹æ¿ï,132,28,97,523,826
1998,Çö´ë,126,81,45,633,445
1998,»ï¼º,126,66,58,620,584
1998,LG,126,63,62,609,586
1998,OB,126,61,62,520,506
1998,½Ö¹æ¿ï,126,58,66,536,570
1998,ÇØÅÂ,126,61,64,489,531
1998,ÇÑÈ­,126,55,66,503,578
1998,·Ôµ¥,126,50,72,536,646
1997,ÇØÅÂ,126,75,50,616,510
1997,»ï¼º,126,66,53,722,605
1997,½Ö¹æ¿ï,126,71,53,602,518
1997,LG,126,73,51,590,512
1997,OB,126,57,64,511,551
1997,ÇÑÈ­,126,51,73,481,554
1997,Çö´ë,126,51,71,497,582
1997,·Ôµ¥,126,48,77,434,621
1996,½Ö¹æ¿ï,126,70,54,545,460
1996,ÇØÅÂ,126,73,51,515,441
1996,Çö´ë,126,67,54,493,454
1996,ÇÑÈ­,126,70,55,522,532
1996,·Ôµ¥,126,57,63,566,580
1996,»ï¼º,126,54,67,510,585
1996,OB,126,47,73,446,516
1996,LG,126,50,71,506,593
1995,OB,126,74,47,629,500
1995,·Ôµ¥,126,68,53,590,493
1995,LG,126,74,48,527,456
1995,»ï¼º,126,60,60,558,555
1995,ÇØÅÂ,126,64,58,431,434
1995,ÇÑÈ­,126,55,71,510,566
1995,ÅÂÆò¾ç,126,48,73,467,548
1995,½Ö¹æ¿ï,126,45,78,476,636
1994,LG,126,81,45,655,452
1994,ÇØÅÂ,126,65,59,563,509
1994,»ï¼º,126,60,64,541,499
1994,ÅÂÆò¾ç,126,68,55,485,471
1994,ÇÑÈ­,126,65,59,482,510
1994,OB,126,53,72,477,507
1994,·Ôµ¥,126,56,67,489,604
1994,½Ö¹æ¿ï,126,47,74,494,634
1993,»ï¼º,126,73,48,613,433
1993,ÇØÅÂ,126,81,42,513,420
1993,OB,126,66,55,473,405
1993,LG,126,66,57,496,440
1993,·Ôµ¥,126,62,63,452,462
1993,ºù±×·¹,126,61,61,454,491
1993,ÅÂÆò¾ç,126,34,82,342,516
1993,½Ö¹æ¿ï,126,43,78,366,551
1992,ºù±×·¹,126,81,43,658,520
1992,ÇØÅÂ,126,71,54,701,571
1992,·Ôµ¥,126,71,55,663,581
1992,»ï¼º,126,67,57,633,636
1992,OB,126,56,66,547,582
1992,LG,126,53,70,572,616
1992,ÅÂÆò¾ç,126,56,67,518,609
1992,½Ö¹æ¿ï,126,41,84,508,686
1991,ÇØÅÂ,126,79,42,618,409
1991,ºù±×·¹,126,72,49,644,493
1991,»ï¼º,126,70,55,639,579
1991,·Ôµ¥,126,61,59,583,527
1991,½Ö¹æ¿ï,126,52,71,554,638
1991,OB,126,51,73,501,603
1991,LG,126,53,72,472,607
1991,ÅÂÆò¾ç,126,55,72,426,590
1990,ºù±×·¹,126,68,50,610,481
1990,LG,126,71,49,578,457
1990,ÇØÅÂ,126,68,49,538,458
1990,»ï¼º,126,66,52,593,558
1990,ÅÂÆò¾ç,126,58,60,485,524
1990,·Ôµ¥,126,44,69,453,572
1990,OB,126,35,80,404,616
1989,ºù±×·¹,120,71,46,595,464
1989,ÇØÅÂ,120,65,51,500,442
1989,ÅÂÆò¾ç,120,62,54,477,440
1989,»ï¼º,120,57,58,580,588
1989,OB,120,54,63,447,481
1989,MBC,120,49,67,490,581
1989,·Ôµ¥,120,48,67,419,522
1988,ÇØÅÂ,108,68,38,503,364
1988,ºù±×·¹,108,62,45,506,441
1988,·Ôµ¥,108,57,49,482,443
1988,»ï¼º,108,56,50,516,492
1988,OB,108,54,52,418,447
1988,MBC,108,40,64,408,491
1988,ÅÂÆò¾ç,108,34,73,387,544
1987,»ï¼º,108,64,44,583,427
1987,·Ôµ¥,108,54,49,432,404
1987,OB,108,55,52,415,405
1987,ÇØÅÂ,108,55,48,393,401
1987,MBC,108,50,51,388,407
1987,ºù±×·¹,108,47,57,410,454
1987,Ã»º¸,108,41,65,401,524
1986,»ï¼º,108,70,37,475,369
1986,ÇØÅÂ,108,67,37,474,372
1986,MBC,108,59,41,434,361
1986,OB,108,56,48,369,341
1986,·Ôµ¥,108,50,52,373,360
1986,ºù±×·¹,108,31,76,333,467
1986,Ã»º¸,108,32,74,318,506
1985,»ï¼º,110,77,32,552,379
1985,OB,110,51,57,473,416
1985,ÇØÅÂ,110,57,52,483,465
1985,·Ôµ¥,110,59,51,426,420
1985,MBC,110,44,65,345,408
1985,»ï¹Ì/Ã»º¸,110,39,70,416,607
1984,OB,100,58,41,382,298
1984,»ï¼º,100,55,45,435,379
1984,·Ôµ¥,100,50,48,405,390
1984,MBC,100,51,48,375,374
1984,ÇØÅÂ,100,43,54,369,398
1984,»ï¹Ì,100,38,59,334,461
1983,MBC,100,55,43,405,335
1983,ÇØÅÂ,100,55,44,423,390
1983,»ï¼º,100,46,50,448,418
1983,OB,100,44,55,418,432
1983,»ï¹Ì,100,52,47,345,372
1983,·Ôµ¥,100,43,56,370,464
1982,»ï¼º,80,53,26,429,257
1982,OB,80,56,24,399,318
1982,MBC,80,46,33,419,350
1982,ÇØÅÂ,80,38,42,374,388
1982,·Ôµ¥,80,33,48,353,385
1982,»ï¹Ì,80,15,65,302,574
