team,year,g,batters,tpa,ab,h,2b,3b,hr,bb,ibb,hbp,so,rbi,r,sh,sf,sb,cs,gidp,e
ÇÑÈ­,2013,128,1645,4915,4271,1106,212,13,47,479,11,80,933,448,480,54,30,70,49,140,74
»ï¼º,2006,126,1646,4779,4091,1043,192,9,73,477,14,79,689,505,538,90,42,121,52,107,76
Çö´ë,2003,133,1648,5313,4483,1280,208,15,175,543,23,109,727,673,723,139,38,75,48,100,112
»ï¼º,2009,133,1648,5220,4459,1224,233,15,146,584,23,67,789,650,685,67,43,125,50,108,80
OB,1991,126,1649,4791,4220,1054,169,39,59,418,23,40,648,458,501,91,22,136,78,84,117
µÎ»ê,2013,128,1649,5142,4401,1271,217,37,95,524,19,79,717,654,699,82,56,172,61,105,61
·Ôµ¥,1989,120,1650,4612,3939,974,155,23,38,519,19,29,520,383,419,98,27,100,74,89,99
»ï¼º,2001,133,1650,5280,4553,1262,244,21,162,520,27,95,814,695,739,69,42,73,44,111,79
·Ôµ¥,2006,126,1650,4766,4137,1034,173,3,88,418,17,65,815,463,488,124,21,62,41,84,84
»ï¼º,2008,126,1650,4859,4180,1078,187,15,92,505,15,65,699,520,557,70,38,59,37,115,69
»ï¼º,2019,144,1652,5533,4866,1245,230,26,122,478,15,78,976,598,622,58,53,107,42,107,105
Çö´ë,2001,133,1653,5225,4445,1192,166,20,169,598,14,76,911,667,711,77,29,99,55,109,116
µÎ»ê,2001,133,1654,5303,4583,1266,221,26,130,560,27,60,697,688,732,54,46,132,34,116,109
ºù±×·¹,1990,120,1655,4625,3971,1074,174,24,112,495,18,47,617,560,610,70,42,138,66,83,111
µÎ»ê,1999,132,1655,5229,4587,1305,218,31,141,478,21,49,693,693,721,74,41,136,44,126,105
ÇÑÈ­,1998,126,1656,4693,4162,1042,201,10,123,339,23,72,784,472,503,99,21,94,59,94,96
SK,2003,133,1656,5157,4445,1208,209,16,156,464,10,89,763,612,644,127,32,82,57,87,90
·Ôµ¥,2003,133,1656,4987,4465,1143,232,18,73,338,11,73,848,451,491,83,28,84,66,75,104
LG,2009,133,1656,5248,4505,1251,182,21,129,552,28,49,781,627,670,97,45,141,47,124,84
KIA,2003,133,1657,5127,4448,1211,219,16,129,505,18,42,721,626,657,94,37,146,67,72,70
»ï¼º,2007,126,1657,4895,4186,1062,191,9,86,511,28,63,678,469,497,95,39,101,46,93,87
LG,2014,128,1658,5070,4349,1214,213,22,90,524,16,63,817,623,667,77,57,104,64,112,91
LG,2000,133,1660,5271,4532,1239,227,22,122,553,21,55,805,647,687,84,46,97,43,93,96
·Ôµ¥,2004,133,1661,5075,4462,1125,195,21,88,416,15,92,853,500,533,74,31,129,46,99,87
ºù±×·¹,1992,126,1662,4865,4197,1120,191,29,146,511,29,58,660,620,658,54,45,104,59,96,132
µÎ»ê,2005,126,1665,4922,4256,1147,183,17,63,465,14,85,701,558,596,81,35,103,50,93,80
Çö´ë,2007,126,1666,4920,4260,1154,178,7,96,443,38,60,653,507,530,125,32,51,36,111,96
»ï¼º,1993,126,1667,4999,4369,1169,169,22,133,465,13,66,662,592,613,53,38,102,73,105,97
»ï¼º,2012,133,1668,5161,4436,1205,200,26,89,500,19,86,813,585,628,91,47,125,48,91,67
µÎ»ê,2009,133,1670,5265,4591,1286,215,33,120,522,21,86,849,669,722,26,40,129,50,128,83
ºù±×·¹,1993,126,1671,4715,4119,982,180,13,81,433,16,54,743,427,454,73,35,96,50,94,99
·Ôµ¥,2011,133,1671,5234,4599,1324,226,30,111,466,19,64,836,666,713,61,44,112,58,124,106
KIA,2014,128,1671,5023,4443,1279,246,27,121,416,11,62,870,631,662,67,35,121,63,95,94
OB,1993,126,1672,4740,4131,1066,176,34,59,403,16,48,611,442,473,118,39,86,49,104,98
OB,1992,126,1673,4833,4225,1096,172,31,110,439,19,37,645,511,547,96,32,96,58,98,116
ÇÑÈ­,1994,126,1673,4691,4063,1002,166,15,68,416,19,63,696,444,482,113,36,94,66,97,118
µÎ»ê,2004,133,1674,5109,4485,1200,202,19,89,433,12,96,780,573,606,55,40,71,59,86,88
LG,2011,133,1677,5158,4522,1203,192,15,94,463,15,49,858,539,579,86,37,116,52,106,97
»ï¼º,1994,126,1678,4801,4161,1081,165,22,106,458,21,64,650,510,541,79,39,120,67,95,131
µÎ»ê,2008,126,1678,4975,4344,1198,166,37,68,472,23,78,719,598,647,36,44,189,63,115,92
»ï¼º,2010,133,1678,5287,4436,1207,212,14,118,621,29,75,916,630,681,111,44,158,55,111,92
³Ø¼¾,2010,133,1680,5139,4452,1165,199,20,87,480,16,68,874,539,570,95,43,135,56,119,93
NC,2013,128,1681,4866,4282,1045,209,25,86,434,11,62,955,485,512,55,31,142,47,94,93
ÇÑÈ­,1997,126,1682,4690,4077,1032,180,18,102,381,20,71,779,445,481,128,33,98,74,88,77
KIA,2004,133,1685,5190,4426,1182,224,9,143,549,22,79,693,610,643,82,54,127,54,118,79
SK,2007,126,1686,4881,4236,1118,212,20,112,442,22,76,750,568,603,87,40,136,68,86,88
KIA,2002,133,1687,5200,4575,1230,220,14,120,454,32,91,914,611,643,45,35,155,39,107,101
KIA,2009,133,1689,5215,4455,1191,197,24,156,579,26,66,890,671,706,74,41,113,52,111,94
»ï¼º,2011,133,1689,5145,4437,1150,193,20,95,522,23,69,940,585,625,73,43,158,51,97,75
Çö´ë,2004,133,1692,5322,4480,1233,190,13,134,607,29,86,871,653,692,111,38,100,45,109,78
µÎ»ê,2002,133,1693,5083,4498,1173,174,21,130,434,17,58,794,556,587,47,46,106,42,107,88
LG,2003,133,1694,4964,4375,1088,188,29,106,404,11,70,781,485,509,74,40,135,62,90,98
ÅÂÆò¾ç,1989,120,1700,4469,3817,943,178,25,48,482,25,39,545,428,477,98,33,167,80,74,111
ÇÑÈ­,2009,133,1700,5273,4620,1241,210,13,164,498,16,81,1017,629,657,43,31,69,20,126,94
LG,1991,126,1701,4680,4131,1009,158,41,53,400,18,52,475,430,472,67,29,110,99,118,103
µÎ»ê,2010,133,1701,5252,4538,1276,224,25,149,533,27,89,834,706,731,54,38,128,61,97,91
·Ôµ¥,2012,133,1701,5043,4481,1179,202,16,73,375,19,54,890,479,509,107,26,119,53,91,83
ÇØÅÂ¡¤KIA,2001,133,1702,5189,4542,1263,221,17,142,497,21,56,774,637,683,51,43,92,63,129,107
µÎ»ê,2003,133,1702,5165,4536,1251,205,21,90,452,17,62,706,541,563,63,52,58,36,121,90
µÎ»ê,2015,144,1704,5759,4957,1436,254,22,140,567,24,99,820,770,807,75,60,111,47,139,93
SK,2009,133,1705,5379,4574,1303,235,17,166,552,16,84,892,693,732,128,40,181,68,103,94
»ï¼º,1991,126,1706,4875,4182,1138,180,25,108,510,28,59,546,593,639,85,37,126,82,106,99
·Ôµ¥,1999,132,1708,5186,4498,1309,261,34,145,465,16,72,815,709,753,99,52,98,68,93,92
ÇÑÈ­,1999,132,1713,5089,4479,1268,253,29,197,432,14,77,847,687,731,59,42,128,70,107,107
SK,2010,133,1715,5213,4439,1217,222,16,120,484,25,99,813,648,704,147,44,161,69,86,81
Çö´ë,1996,126,1717,4729,4127,1001,171,21,106,396,35,72,747,462,493,104,30,112,90,66,100
»ï¼º,2018,144,1717,5766,5109,1471,241,29,146,468,14,87,1034,732,776,57,45,116,52,115,79
½Ö¹æ¿ï,1994,126,1718,4690,4142,1027,160,20,87,378,19,45,622,455,494,100,23,151,68,86,84
»ï¼º,1992,126,1719,4921,4250,1128,169,23,124,494,21,73,620,585,633,58,44,127,61,95,122
SK,2000,133,1722,5111,4492,1167,193,23,105,429,6,77,858,566,602,77,35,67,44,107,93
ºù±×·¹,1991,126,1723,4870,4221,1155,181,43,136,485,22,51,704,607,644,84,29,121,63,92,131
SK,2001,133,1723,5077,4400,1143,215,11,113,457,23,71,770,555,596,122,26,123,59,95,97
»ï¼º,1996,126,1725,4732,4136,1029,191,23,88,423,19,76,807,478,510,56,37,135,78,77,106
ºù±×·¹,1989,120,1727,4633,4064,1121,208,26,97,412,23,48,544,549,595,64,45,122,60,74,112
ÇÑÈ­,1995,126,1727,4755,4161,1037,205,25,96,403,22,63,747,477,510,100,28,97,65,80,98
SK,2004,133,1728,5254,4499,1223,196,9,138,521,24,93,818,626,655,105,35,50,47,98,83
½Ö¹æ¿ï,1997,126,1729,4781,4057,1090,201,30,110,490,37,51,693,565,602,139,44,81,60,99,86
ÇÑÈ­,2004,133,1729,5150,4519,1213,245,17,140,456,14,54,923,605,632,88,33,82,58,107,95
SK,2019,144,1731,5542,4919,1290,218,14,117,462,20,87,966,622,655,35,38,118,50,92,87
LG,2012,133,1733,5180,4539,1184,212,18,59,458,19,53,857,512,544,80,50,140,57,107,96
SK,2002,133,1737,5090,4475,1207,204,27,158,385,15,100,815,587,618,96,34,80,55,94,94
µÎ»ê,2019,144,1738,5669,4912,1364,235,31,84,562,16,73,799,692,736,39,83,102,38,117,83
ÇÑÈ­,2019,144,1738,5482,4882,1249,223,16,88,441,12,70,1090,562,607,44,45,105,51,112,106
ÇÑÈ­,2003,133,1739,5198,4458,1131,218,20,121,542,22,75,887,521,577,102,21,78,57,89,75
Çö´ë,1997,126,1742,4680,4032,994,179,19,82,424,33,72,720,459,497,122,28,112,78,92,107
NC,2014,128,1743,5031,4426,1249,228,36,143,443,9,67,918,697,737,44,51,154,47,90,87
·Ôµ¥,2020,144,1745,5669,4958,1366,252,6,131,569,18,55,875,711,750,39,48,90,31,148,77
ÇÑÈ­,1996,126,1747,4747,4081,1000,203,23,90,432,17,80,836,499,522,123,30,95,72,92,114
·Ôµ¥,2000,133,1747,5178,4557,1186,206,26,104,449,19,66,831,553,603,82,24,92,48,93,105
·Ôµ¥,2001,133,1747,5308,4521,1265,247,24,121,585,39,60,817,671,718,82,60,106,53,89,99
Çö´ë,2002,133,1748,5140,4444,1160,191,25,173,464,26,99,945,643,658,99,34,79,50,82,82
·Ôµ¥,1991,126,1750,4821,4128,1072,177,46,73,457,30,61,515,533,583,122,47,97,57,78,92
ÇÑÈ­,2010,133,1751,5009,4321,1053,160,13,104,497,10,80,943,508,543,75,33,121,70,106,80
LG,2002,133,1752,5121,4492,1173,212,22,100,412,29,86,951,541,583,93,37,140,63,91,91
LG,2004,133,1753,5081,4432,1150,176,24,102,441,18,95,892,554,588,73,40,69,48,89,104
ÇÑÈ­,2011,133,1754,5085,4367,1112,160,14,93,488,14,74,906,536,568,130,25,100,76,93,82
·Ôµ¥,2002,133,1757,4986,4512,1105,206,19,85,324,14,78,978,443,463,49,22,76,63,75,117
³Ø¼¾,2018,144,1757,5780,5141,1481,288,19,165,472,25,85,1208,787,825,32,50,101,33,93,106
ÇÑÈ­,2018,144,1764,5539,4972,1369,249,14,151,420,17,88,1098,668,729,31,28,118,64,113,99
È÷¾î·ÎÁî,2008,126,1765,4834,4317,1149,190,19,70,396,20,37,713,471,499,51,33,97,57,114,100
Å°¿ò,2020,144,1767,5721,4945,1332,254,25,127,608,16,73,1030,713,759,43,52,113,27,107,98
ÇÑÈ­,2012,133,1769,5057,4331,1077,208,12,71,538,17,61,907,479,509,100,27,107,53,102,73
³Ø¼¾,2015,144,1769,5811,5069,1512,304,20,203,544,18,82,1098,855,904,61,55,100,47,112,110
»ï¼º,2015,144,1771,5803,5019,1515,259,25,176,581,21,70,930,850,897,76,57,157,52,109,96
SK,2017,144,1772,5564,4925,1337,222,15,234,427,20,113,1100,733,761,57,41,53,42,97,108
SK,2018,144,1773,5682,4992,1403,234,13,233,483,6,119,1079,791,829,54,34,108,39,103,116
³Ø¼¾,2016,144,1780,5702,4990,1464,254,39,134,556,17,63,956,765,813,34,59,154,83,121,94
NC,2019,144,1783,5631,4968,1383,249,26,128,456,14,83,880,639,674,64,60,86,45,126,95
»ï¼º,2017,144,1786,5707,5095,1419,255,36,145,429,17,70,983,703,757,58,55,98,37,97,95
ÇÑÈ­,2017,144,1787,5665,5030,1445,261,16,150,416,15,94,974,684,737,85,38,64,44,112,91
LG,2018,144,1789,5665,5070,1487,299,12,148,418,14,75,1001,740,788,51,51,71,38,125,100
ÇÑÈ­,2002,133,1791,5062,4491,1148,206,10,170,446,22,49,1064,570,603,52,22,94,65,106,85
ÇÑÈ­,2000,133,1796,5203,4600,1270,265,14,180,449,19,66,997,655,680,45,43,78,49,130,120
LG,2001,133,1803,5319,4521,1247,219,24,85,590,24,52,759,630,669,114,41,96,58,100,103
ÇÑÈ­,2001,133,1807,5259,4556,1255,211,15,148,549,28,45,877,628,659,75,34,135,65,106,117
KIA,2019,144,1807,5505,4874,1286,248,19,76,496,13,59,919,566,605,31,45,87,42,108,110
»ï¼º,1995,126,1808,4752,4188,1047,199,20,94,384,21,92,723,516,558,55,32,100,44,77,127
»ï¼º,2016,144,1808,5863,5093,1492,249,34,142,552,15,75,864,792,852,88,55,104,50,119,90
KIA,2020,144,1809,5642,4937,1355,224,13,130,535,10,69,957,692,724,63,38,47,25,114,82
µÎ»ê,2016,144,1812,5841,5044,1504,284,25,183,600,11,86,884,877,935,43,68,85,45,121,79
³Ø¼¾,2017,144,1813,5712,5098,1479,267,30,141,468,15,83,1066,748,789,21,42,70,34,129,91
·Ôµ¥,2015,144,1821,5680,4972,1393,254,19,177,532,22,68,1186,727,765,80,28,104,50,136,114
·Ôµ¥,2019,144,1821,5488,4919,1231,214,22,90,430,12,64,1085,545,578,35,40,62,31,108,114
KT,2018,144,1822,5605,5026,1382,264,13,206,464,14,46,1109,721,757,43,26,80,57,103,99
µÎ»ê,2017,144,1825,5833,5102,1499,270,20,178,541,19,95,960,812,849,48,47,69,33,120,90
LG,2019,144,1825,5536,4928,1316,233,15,94,434,17,77,962,604,641,49,48,108,47,117,95
SK,2016,144,1834,5672,5023,1464,234,19,182,429,13,102,1018,715,753,71,47,89,60,104,123
µÎ»ê,2018,144,1837,5870,5176,1601,284,30,191,496,16,92,1016,898,944,43,63,96,23,112,77
·Ôµ¥,2016,144,1840,5784,5001,1439,252,20,127,596,18,83,1061,732,777,62,41,145,64,120,91
·Ôµ¥,2017,144,1844,5671,4994,1425,250,17,151,457,33,112,1018,697,743,76,32,92,44,146,86
SK,2015,144,1845,5588,4861,1323,214,10,145,490,13,98,1047,656,693,110,29,94,59,113,95
KT,2017,144,1864,5484,4936,1360,274,17,119,374,11,66,1017,625,655,62,45,86,51,118,112
»ï¼º,2020,144,1865,5574,4923,1317,211,12,129,486,10,62,990,658,699,50,53,132,49,117,84
ÇÑÈ­,2020,144,1886,5483,4862,1189,195,12,79,462,9,89,1163,523,551,45,25,51,36,119,86
KT,2019,144,1887,5579,4962,1374,186,20,103,476,15,51,974,615,650,45,45,104,44,113,102
ÇÑÈ­,2016,144,1888,5838,5109,1478,242,27,142,510,19,91,1025,787,826,87,41,64,38,123,124
LG,2017,144,1896,5614,4944,1390,216,20,110,438,17,101,1021,664,699,76,55,77,56,123,103
µÎ»ê,2020,144,1897,5776,5046,1477,263,20,125,551,20,68,796,778,816,38,73,88,37,132,76
SK,2020,144,1897,5502,4839,1212,177,17,143,511,18,69,981,595,634,49,34,81,45,112,91
ÇÑÈ­,2015,144,1899,5713,4850,1316,218,19,130,581,33,109,1133,667,717,139,35,80,47,112,105
·Ôµ¥,2018,144,1910,5764,5130,1484,289,17,203,471,22,81,1157,792,821,45,37,68,32,124,117
KIA,2018,144,1918,5744,5036,1487,258,22,170,503,27,99,905,823,865,56,50,88,37,135,94
KT,2016,144,1921,5620,4963,1369,214,11,116,499,7,48,933,639,672,65,45,96,46,130,130
KIA,2016,144,1924,5696,4999,1429,264,28,170,499,12,87,997,754,803,66,45,101,50,109,111
KIA,2017,144,1933,5841,5142,1554,292,29,170,499,19,89,891,868,906,55,56,76,34,118,98
LG,2016,144,1936,5765,5051,1464,238,26,118,523,10,72,982,744,786,65,54,121,70,92,103
NC,2018,144,1938,5488,4895,1280,233,18,143,427,15,88,1081,629,660,35,43,82,35,115,107
NC,2016,144,1941,5833,5007,1457,249,19,169,609,18,93,1023,808,857,70,52,99,41,133,100
NC,2015,144,1960,5727,4967,1437,283,28,161,536,24,106,1023,802,844,64,53,204,60,105,83
KT,2015,144,1965,5605,4927,1344,221,15,129,507,21,58,1112,633,670,75,37,124,52,118,118
NC,2020,144,1979,5833,5102,1483,258,28,187,529,21,104,997,845,888,46,51,101,38,106,73
LG,2020,144,1986,5681,4999,1384,253,29,149,509,21,75,969,760,802,49,49,83,39,115,74
NC,2017,144,1987,5790,5079,1489,277,19,149,471,19,130,979,739,786,62,48,93,32,119,108
LG,2015,144,1988,5599,4941,1331,252,22,114,462,18,80,1076,601,653,75,41,113,62,98,103
KT,2020,144,2002,5762,5047,1432,238,21,163,554,20,52,1097,767,813,64,45,106,50,104,92
KIA,2015,144,2022,5454,4777,1197,223,22,136,454,16,101,1126,602,648,79,43,115,50,105,84
